"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",59.3846,28.46021,312.32,0.43,0.38,"2023-02-14",11,1,"nominal","2.0NRT",272.08,1.53,"N"
"2",53.44287,34.4139,315.59,0.44,0.39,"2023-02-14",13,1,"nominal","2.0NRT",274.9,2.04,"N"
"3",53.44325,34.41415,312.98,0.44,0.39,"2023-02-14",13,1,"nominal","2.0NRT",273.84,1.7,"N"
"4",53.44196,34.42055,298.18,0.44,0.39,"2023-02-14",13,1,"nominal","2.0NRT",275.96,1.7,"N"
"5",52.84839,29.98953,338.95,0.39,0.36,"2023-02-14",13,1,"nominal","2.0NRT",267.99,2.09,"N"
"6",52.84517,29.98808,296.6,0.39,0.36,"2023-02-14",13,1,"nominal","2.0NRT",266.82,2.09,"N"
"7",45.06739,29.14973,304.86,0.42,0.38,"2023-02-14",15,1,"nominal","2.0NRT",272.6,0.81,"N"
"8",44.87818,29.05466,336.99,0.42,0.38,"2023-02-14",15,1,"nominal","2.0NRT",272.86,5.48,"N"
"9",44.87915,29.04943,307.41,0.42,0.38,"2023-02-14",15,1,"nominal","2.0NRT",271.15,1.46,"N"
"10",41.2675,31.42238,309.14,0.4,0.44,"2023-02-14",15,1,"nominal","2.0NRT",274.14,1.52,"N"
"11",41.2665,31.42694,296.4,0.4,0.44,"2023-02-14",15,1,"nominal","2.0NRT",275.32,1.32,"N"
"12",41.25675,31.4133,307.83,0.39,0.44,"2023-02-14",15,1,"nominal","2.0NRT",270.64,1.27,"N"
"13",41.79826,26.7016,299.46,0.4,0.37,"2023-02-14",17,1,"nominal","2.0NRT",270.87,0.93,"N"
"14",41.0202,28.55458,322.39,0.46,0.39,"2023-02-14",17,1,"nominal","2.0NRT",274.32,2.12,"N"
"15",40.78135,29.60308,299.77,0.51,0.41,"2023-02-14",17,1,"nominal","2.0NRT",276.57,1.16,"N"
"16",40.80005,29.3751,297.28,0.49,0.41,"2023-02-14",17,1,"nominal","2.0NRT",277.38,0.93,"N"
